Route_UID,Route_Name
1692,205DOWN
1693,205UP
1694,206ADOWN
1695,206AUP
1696,208ADOWN
1697,208AUP
1698,208DOWN
1699,208UP
1700,210DOWN
1701,210UP
1705,211BUP
1706,211DOWN
1707,211UP
1708,212DOWN
1709,212UP
1712,213DOWN
1713,213UP
1714,214DOWN
1715,214UP
1719,218DOWN
1720,218UP
1721,219DOWN
1724,219UP
1725,221DOWN
1726,221UP
1727,227ADOWN
1728,227AUP
1735,232DOWN
1736,232UP
1743,234DOWN
1744,234UP
1745,235DOWN
1749,236EXTUP
1750,236UP
1751,241DOWN
1755,244UP
1756,244DOWN
1759,247DOWN
1760,247UP
1761,248DOWN
1763,253DOWN
1764,253UP
1769,258DOWN
1772,258UP
1773,259DOWN
1775,261DOWN
1776,261UP
1785,273DOWN
1787,274DOWN
1788,274UP
1791,306DOWN
1792,306UP
1793,307ADOWN
1804,316UP
1807,318DOWN
1810,319AUP
1811,319DOWN
1812,319UP
1819,335DOWN
1825,33ADOWN
1826,33AUP
1829,33DOWN
1830,33UP
1831,340DOWN
1832,340UP
1835,344DOWN
1839,347DOWN
1840,347UP
1841,348DOWN
1842,348UP
1845,349DOWN
1847,34ADOWN
1849,34DOWN
1850,34UP
1855,353DOWN
1859,355DOWN
1864,356UP
1869,374DOWN
1873,378DOWN
1874,378UP
1877,391DOWN
1881,392DOWN
1882,392UP
1884,398UP
1885,39ADOWN
1886,39AUP
1887,39DOWN
1890,39UP
1893,402DOWN
1894,402UP
1895,403DOWN
1896,403UP
1899,405DOWN
1900,405UP
1906,410UP
1907,411DOWN
1908,411UP
1909,413DOWN
1910,413UP
1911,418ADOWN
1912,418AUP
1913,419DOWN
1914,419UP
1915,423DOWN
1916,423UP
1918,424UP
1919,425DOWN
1920,425UP
1923,427DOWN
1924,427UP
1925,428DOWN
1926,428UP
1927,429DOWN
1928,429UP
1929,433ADOWN
1931,433DOWN
1932,433UP
1933,434DOWN
1934,434UP
1935,440ADOWN
1936,440AUP
1937,440DOWN
1938,440UP
1941,442DOWN
1942,442UP
1945,443DOWN
1947,445ADOWN
1948,445AUP
1951,447DOWN
1952,447UP
1956,448BUP
1957,448DOWN
1958,448UP
1959,449DOWN
1961,450DOWN
1962,450UP
1964,451AUP
1965,460DOWN
1966,460UP
1967,463DOWN
1968,463UP
1969,465ADOWN
1970,465AUP
1971,465DOWN
1973,469DOWN
1974,469UP
1977,473DOWN
1978,473UP
1979,479DOWN
1981,47ADOWN
1982,47AUP
1987,492DOWN
1988,492UP
1990,493UP
1992,500UP
1995,502DOWN
1996,502UP
1999,505DOWN
2000,505UP
2007,511ADOWN
2008,511AUP
2012,512UP
2014,516UP
2015,517DOWN
2019,519DOWN
2020,519UP
2024,521UP
2030,522AUP
2031,522DOWN
2034,522UP
2035,523DOWN
2036,523UP
2037,525DOWN
2038,525STLDOWN
2039,525STLUP
2040,525UP
2045,534AUP
2048,534DOWN
2050,534UP
2053,539ADOWN
2054,539AUP
2062,540UP
2065,543ADOWN
2066,543AUP
2072,544AUP
2073,544DOWN
2074,544UP
2081,567ADOWN
2084,567AUP
2085,567DOWN
2089,568DOWN
2090,568UP
2097,578DOWN
2098,578UP
2105,604DOWN
2106,604UP
2111,610AUP
2114,610DOWN
2117,610UP
2119,611AUP
2123,611UP
2126,615DOWN
2130,620DOWN
2134,621DOWN
2135,621UP
2140,623DOWN
2141,623UP
2143,624AUP
2150,680DOWN
2151,680UP
2155,702UP
